iter	Passed	Remaining
0	151	151241
1	152	76211
2	154	51204
3	155	38699
4	156	31166
5	158	26183
6	159	22593
7	160	19896
8	161	17795
9	162	16114
10	163	14724
11	164	13565
12	165	12583
13	166	11739
14	167	10998
15	168	10342
16	168	9758
17	169	9242
18	170	8783
19	170	8368
20	171	7994
21	172	7660
22	172	7346
23	173	7063
24	174	6799
25	174	6555
26	175	6328
27	176	6115
28	176	5920
29	177	5741
30	178	5568
31	178	5407
32	179	5257
33	180	5115
34	180	4985
35	181	4866
36	182	4750
37	183	4641
38	183	4533
39	184	4429
40	185	4330
41	185	4237
42	186	4148
43	187	4064
44	187	3983
45	188	3907
46	189	3833
47	189	3761
48	190	3693
49	191	3629
50	191	3569
51	192	3507
52	193	3449
53	193	3393
54	194	3340
55	195	3287
56	195	3236
57	196	3188
58	197	3148
59	198	3107
60	199	3068
61	200	3032
62	201	2991
63	201	2952
64	202	2912
65	203	2874
66	203	2837
67	204	2797
68	204	2761
69	205	2726
70	205	2694
71	206	2664
72	207	2635
73	208	2607
74	209	2579
75	209	2551
76	210	2523
77	211	2496
78	211	2468
79	212	2442
80	213	2416
81	213	2391
82	214	2367
83	214	2342
84	215	2317
85	215	2294
86	216	2270
87	217	2249
88	217	2229
89	218	2208
90	219	2188
91	219	2168
92	220	2150
93	221	2132
94	221	2113
95	222	2096
96	223	2080
97	224	2063
98	224	2045
99	225	2028
100	226	2012
101	226	1993
102	226	1976
103	227	1960
104	228	1944
105	228	1929
106	229	1915
107	230	1899
108	230	1885
109	231	1870
110	231	1855
111	232	1841
112	232	1828
113	233	1814
114	234	1801
115	234	1788
116	235	1776
117	235	1763
118	236	1750
119	237	1738
120	237	1727
121	238	1716
122	238	1703
123	239	1693
124	240	1683
125	241	1672
126	241	1662
127	242	1649
128	242	1639
129	243	1629
130	244	1619
131	244	1609
132	245	1599
133	245	1589
134	246	1580
135	247	1571
136	247	1562
137	248	1552
138	249	1542
139	249	1533
140	250	1525
141	251	1516
142	251	1508
