iter	Passed	Remaining
0	124	124678
1	128	63878
2	129	43142
3	130	32615
4	132	26304
5	133	22095
6	134	19028
7	135	16740
8	135	14961
9	136	13530
10	137	12353
11	138	11372
12	138	10540
13	139	9826
14	140	9211
15	141	8687
16	142	8230
17	143	7810
18	143	7432
19	144	7090
20	145	6789
21	146	6504
22	146	6240
23	147	6001
24	148	5785
25	149	5586
26	149	5400
27	150	5227
28	151	5064
29	151	4912
30	152	4773
31	153	4640
32	154	4518
33	154	4401
34	155	4294
35	156	4194
36	157	4098
37	158	4006
38	159	3919
39	159	3836
40	160	3755
41	161	3678
42	161	3604
43	162	3533
44	163	3467
45	164	3403
46	164	3341
47	165	3283
48	166	3227
49	166	3171
50	167	3118
51	168	3068
52	168	3019
53	169	2974
54	170	2931
55	171	2891
56	172	2850
57	172	2809
58	173	2771
59	174	2733
60	175	2697
61	175	2660
62	176	2626
63	177	2594
64	178	2561
65	178	2529
66	179	2498
67	180	2467
68	180	2438
69	181	2410
70	182	2384
71	182	2356
72	183	2331
73	184	2306
74	184	2280
75	185	2258
76	186	2236
77	187	2214
78	188	2193
79	189	2174
80	189	2153
81	190	2132
82	190	2108
83	191	2088
84	192	2067
85	192	2049
86	193	2030
87	194	2012
88	194	1995
89	195	1978
90	196	1962
91	197	1946
92	197	1929
93	198	1913
94	199	1897
95	199	1881
96	200	1867
97	201	1853
98	202	1840
99	203	1827
100	203	1815
101	204	1801
102	205	1789
103	206	1775
104	206	1762
105	207	1749
106	208	1736
107	208	1724
108	209	1711
109	210	1700
110	210	1688
111	211	1676
112	212	1665
113	212	1654
114	213	1643
115	214	1632
116	214	1621
117	215	1612
118	216	1603
119	217	1593
120	218	1584
121	218	1573
122	219	1564
123	220	1555
124	220	1545
125	221	1536
126	222	1526
127	222	1516
128	223	1507
129	223	1498
130	224	1489
131	225	1481
132	225	1473
133	226	1465
134	227	1456
135	228	1448
136	228	1440
137	229	1433
138	230	1428
139	231	1421
140	232	1414
141	232	1405
142	233	1398
143	234	1391
144	234	1384
145	235	1378
146	236	1371
147	237	1364
148	237	1358
149	238	1351
150	239	1344
151	239	1338
152	240	1332
153	241	1325
154	241	1318
155	242	1312
156	243	1306
157	244	1300
158	244	1295
159	246	1291
160	246	1284
161	247	1278
162	248	1273
163	248	1268
164	249	1262
165	250	1257
166	250	1251
167	251	1245
168	252	1239
169	252	1234
170	253	1228
171	254	1223
172	254	1218
173	255	1212
174	256	1207
175	256	1203
176	257	1198
177	258	1193
178	259	1188
179	260	1184
180	260	1180
181	261	1175
182	262	1170
183	262	1166
184	263	1161
185	264	1156
186	265	1152
187	265	1147
188	266	1143
189	267	1138
190	267	1133
191	268	1129
192	268	1124
193	269	1119
194	270	1115
195	270	1111
196	271	1107
197	272	1103
198	273	1099
199	273	1095
200	274	1091
201	275	1088
202	276	1085
203	277	1081
204	277	1077
205	278	1073
206	279	1069
207	279	1066
208	280	1062
209	281	1058
210	282	1054
211	282	1051
212	283	1047
213	284	1043
214	284	1039
215	285	1036
216	286	1032
217	286	1028
218	287	1025
219	288	1021
220	288	1018
221	289	1014
222	290	1011
223	291	1008
224	291	1005
225	292	1001
226	293	998
227	293	995
228	294	991
229	295	988
230	295	985
231	296	982
232	297	978
233	298	975
234	298	972
235	299	968
236	299	965
237	300	962
238	301	959
239	301	956
240	302	952
241	303	949
242	303	946
243	304	944
244	305	941
245	306	939
246	307	936
247	307	933
248	308	930
249	309	927
250	309	924
251	310	921
252	311	918
253	311	916
254	312	913
255	313	910
256	313	907
257	314	904
258	315	901
259	315	898
260	316	896
261	317	893
